"ID" "nazov.skoly" "adresa" "obec" "okres" "zriadovateľ" "skupina.odborov.cislo" "skupina.odborov" "odbor" "odbor.nazov" "Forma" "Druh" "stupen.vzdelania" "Dĺžka" "Jazyk" "1." "2." "3." "4." "5." "6." "7." "8." "žiaci.spolu" "novoprijatí.1..ročník.2017" "absolventi.2017" "odborný.výcvik.a.prax" "predpokladani.absolventi.máj.2018" "lat" "lng"
"54" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229M06" "hudba-hra na husle,violu,...,harfu,gitaru,cimbal            " "D" "3V" "M" 4 "S " 9 11 8 4 0 0 0 0 32 8 8 0 4 19.153651 48.7408609
"55" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229M07" "hudba-hra na akordeone                                      " "D" "3V" "M" 4 "S " 2 2 2 1 0 0 0 0 7 2 4 0 1 19.153651 48.7408609
"56" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8226700" "hudobno-dramatické umenie                                   " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 5 0 0 19.153651 48.7408609
"57" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8227700" "tanec                                                       " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 1 0 0 19.153651 48.7408609
"58" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8228700" "spev                                                        " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 6 0 0 19.153651 48.7408609
"59" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229702" "hudba-dirigovanie                                           " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 1 0 0 19.153651 48.7408609
"60" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229703" "hudba-hra na klavíri                                        " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 2 0 0 19.153651 48.7408609
"61" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229705" "hudba-hra na flau,hob,klar,fag,trub,...,bic.nástr.          " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 3 0 0 19.153651 48.7408609
"62" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229706" "hudba-hra na husle,violu,...,harfu,gitaru,cimbal            " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 5 0 0 19.153651 48.7408609
"63" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229707" "hudba-hra na akordeone                                      " "D" "6V" "7" 6 "S " 0 0 0 0 0 0 0 0 0 0 1 0 0 19.153651 48.7408609
"64" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8226Q00" "hudobno-dramatické umenie                                   " "D" "6V" "Q" 6 "S " 0 0 0 0 7 1 0 0 8 0 0 0 1 19.153651 48.7408609
"65" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8228Q00" "spev                                                        " "D" "6V" "Q" 6 "S " 0 0 0 0 5 1 0 0 6 0 0 0 1 19.153651 48.7408609
"66" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229Q01" "hudba - skladba                                             " "D" "6V" "Q" 6 "S " 0 0 0 0 3 0 0 0 3 0 0 0 0 19.153651 48.7408609
"67" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229Q03" "hudba - hra na klavíri                                      " "D" "6V" "Q" 6 "S " 0 0 0 0 3 1 0 0 4 0 0 0 1 19.153651 48.7408609
"68" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229Q04" "hudba - hra na organe                                       " "D" "6V" "Q" 6 "S " 0 0 0 0 1 2 0 0 3 0 0 0 2 19.153651 48.7408609
"69" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229Q05" "hud.-hr.na z.f.,fl,hob,klar,fag,sax.,tru,le.r,poz,          " "D" "6V" "Q" 6 "S " 0 0 0 0 2 8 0 0 10 0 0 0 8 19.153651 48.7408609
"70" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229Q06" "hudba-hra na husl.,viole,violonč.,kontrab.,harfe,g          " "D" "6V" "Q" 6 "S " 0 0 0 0 7 7 0 0 14 0 0 0 7 19.153651 48.7408609
"71" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229Q07" "hudba - hra na akordeóne                                    " "D" "6V" "Q" 6 "S " 0 0 0 0 3 4 0 0 7 0 0 0 4 19.153651 48.7408609
"72" "19" "Obchodná akadémia" "Tajovského 25" "Banská Bystrica" "BB" "BBSK" 63 "Ekonomika a organizácia, obchod a služby I" "6317M00" "obchodná akadémia                                           " "D" "3V" "M" 4 "S " 89 69 88 79 0 0 0 0 325 89 101 167 79 19.1257922 48.7395822
"73" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 29 "Potravinárstvo" "2952L00" "výroba potravín                                             " "D" "4V" "L" 2 "S " 22 0 0 0 0 0 0 0 22 18 3 22 0 19.171557 48.7532363
"74" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 45 "Poľnohospodárstvo, lesné hospodárstvo a rozvoj vidieka II" "4582H00" "včelár, včelárka                                            " "D" "2V" "H" 2 "S " 17 0 0 0 0 0 0 0 17 17 10 17 0 19.171557 48.7532363
"75" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 45 "Poľnohospodárstvo, lesné hospodárstvo a rozvoj vidieka II" "4582H00" "včelár, včelárka                                            " "E" "2V" "H" 2 "S " 49 62 0 0 0 0 0 0 111 48 24 111 62 19.171557 48.7532363
"76" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 29 "Potravinárstvo" "2954H00" "mäsiar                                                      " "D" "2V" "H" 3 "S " 11 17 15 0 0 0 0 0 43 10 19 43 15 19.171557 48.7532363
"77" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 29 "Potravinárstvo" "2987H02" "biochemik - výroba piva a sladu                             " "D" "2V" "H" 3 "S " 12 0 0 0 0 0 0 0 12 12 0 12 0 19.171557 48.7532363
"78" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 29 "Potravinárstvo" "2977H00" "cukrár kuchár                                               " "D" "2V" "H" 4 "S " 7 0 0 0 0 0 0 0 7 7 0 7 0 19.171557 48.7532363
"79" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 29 "Potravinárstvo" "2978H00" "cukrár pekár                                                " "D" "2V" "H" 4 "S " 14 10 14 13 0 0 0 0 51 14 10 51 13 19.171557 48.7532363
"80" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 42 "Poľnohospodárstvo, lesné hospodárstvo a rozvoj vidieka I" "4234M00" "podnik. v chovoch spoločenských,cudzokraj.a malých          " "D" "3V" "M" 4 "S " 8 12 10 9 0 0 0 0 39 8 4 39 9 19.171557 48.7532363
"81" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 45 "Poľnohospodárstvo, lesné hospodárstvo a rozvoj vidieka II" "4553K00" "podnikateľ pre rozvoj vidieka                               " "D" "3V" "K" 4 "S " 11 18 7 9 0 0 0 0 45 11 5 45 9 19.171557 48.7532363
"82" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 63 "Ekonomika a organizácia, obchod a služby I" "6324M00" "manažment regionálneho cestovného ruchu                     " "D" "3V" "M" 4 "S " 19 28 18 20 0 0 0 0 85 17 12 85 20 19.171557 48.7532363
"83" "20" "Stredná odborná škola" "Pod Bánošom 80" "Banská Bystrica" "BB" "BBSK" 64 "Ekonomika a organizácia, obchod a služby II" "6405K00" "pracovník marketingu                                        " "D" "3V" "K" 4 "S " 0 0 0 0 0 0 0 0 0 0 2 0 0 19.171557 48.7532363
"84" "21" "Stredná odborná škola hotelových služieb a obchodu" "Školská 5" "Banská Bystrica" "BB" "BBSK" 64 "Ekonomika a organizácia, obchod a služby II" "6421L00" "spoločné stravovanie                                        " "D" "4V" "L" 2 "S " 15 10 0 0 0 0 0 0 25 15 3 25 10 19.1311614 48.7400694
"85" "21" "Stredná odborná škola hotelových služieb a obchodu" "Školská 5" "Banská Bystrica" "BB" "BBSK" 64 "Ekonomika a organizácia, obchod a služby II" "6426L00" "vlasová kozmetika                                           " "D" "4V" "L" 2 "S " 11 8 0 0 0 0 0 0 19 11 2 19 8 19.1311614 48.7400694
"86" "21" "Stredná odborná škola hotelových služieb a obchodu" "Školská 5" "Banská Bystrica" "BB" "BBSK" 64 "Ekonomika a organizácia, obchod a služby II" "6444H00" "čašník, servírka                                            " "D" "2V" "H" 3 "S " 10 6 8 0 0 0 0 0 24 10 6 24 8 19.1311614 48.7400694
"87" "21" "Stredná odborná škola hotelových služieb a obchodu" "Školská 5" "Banská Bystrica" "BB" "BBSK" 64 "Ekonomika a organizácia, obchod a služby II" "6445H00" "kuchár                                                      " "D" "2V" "H" 3 "S " 11 13 10 0 0 0 0 0 34 11 12 34 10 19.1311614 48.7400694
"88" "21" "Stredná odborná škola hotelových služieb a obchodu" "Školská 5" "Banská Bystrica" "BB" "BBSK" 64 "Ekonomika a organizácia, obchod a služby II" "6456H00" "kaderník                                                    " "D" "2V" "H" 3 "S " 13 12 8 0 0 0 0 0 33 13 8 33 8 19.1311614 48.7400694
